COUNTRY,SECTOR,SUBSECTOR,ENERGY_CARRIER,PROPERTY,UNIT,YEAR,VALUE
PL,Households,Total,Liquids,Energy Demand,TWh,2019,1.362891282
PT,Households,Total,Liquids,Energy Demand,TWh,2019,4.897634522
RO,Households,Total,Liquids,Energy Demand,TWh,2019,2.748809825
SE,Households,Total,Liquids,Energy Demand,TWh,2019,1.32224412
SI,Households,Total,Liquids,Energy Demand,TWh,2019,1.457098652
SK,Households,Total,Liquids,Energy Demand,TWh,2019,0.097792708
UK,Households,Total,Liquids,Energy Demand,TWh,2019,26.67197217
EU,Households,Total,Liquids,Energy Demand,TWh,2019,332.0419325
AT,Households,Total,Others,Energy Demand,TWh,2019,0
BE,Households,Total,Others,Energy Demand,TWh,2019,0
BG,Households,Total,Others,Energy Demand,TWh,2019,0
CY,Households,Total,Others,Energy Demand,TWh,2019,0
CZ,Households,Total,Others,Energy Demand,TWh,2019,0
DE,Households,Total,Others,Energy Demand,TWh,2019,0
DK,Households,Total,Others,Energy Demand,TWh,2019,0
EE,Households,Total,Others,Energy Demand,TWh,2019,0
ES,Households,Total,Others,Energy Demand,TWh,2019,0
FI,Households,Total,Others,Energy Demand,TWh,2019,0
FR,Households,Total,Others,Energy Demand,TWh,2019,0
GR,Households,Total,Others,Energy Demand,TWh,2019,0
HR,Households,Total,Others,Energy Demand,TWh,2019,0
HU,Households,Total,Others,Energy Demand,TWh,2019,0
IE,Households,Total,Others,Energy Demand,TWh,2019,0
IT,Households,Total,Others,Energy Demand,TWh,2019,0
LT,Households,Total,Others,Energy Demand,TWh,2019,0
LU,Households,Total,Others,Energy Demand,TWh,2019,0
LV,Households,Total,Others,Energy Demand,TWh,2019,0
MT,Households,Total,Others,Energy Demand,TWh,2019,0
NL,Households,Total,Others,Energy Demand,TWh,2019,0
PL,Households,Total,Others,Energy Demand,TWh,2019,0
PT,Households,Total,Others,Energy Demand,TWh,2019,0
RO,Households,Total,Others,Energy Demand,TWh,2019,0
SE,Households,Total,Others,Energy Demand,TWh,2019,0
SI,Households,Total,Others,Energy Demand,TWh,2019,0
SK,Households,Total,Others,Energy Demand,TWh,2019,0
UK,Households,Total,Others,Energy Demand,TWh,2019,0
EU,Households,Total,Others,Energy Demand,TWh,2019,0
AT,Buildings,Total,Electricity,Energy Demand,TWh,2019,11.20103022
BE,Buildings,Total,Electricity,Energy Demand,TWh,2019,19.90063035
BG,Buildings,Total,Electricity,Energy Demand,TWh,2019,7.435066721
CY,Buildings,Total,Electricity,Energy Demand,TWh,2019,2.036338924
CZ,Buildings,Total,Electricity,Energy Demand,TWh,2019,14.44863131
DE,Buildings,Total,Electricity,Energy Demand,TWh,2019,112.1838108
DK,Buildings,Total,Electricity,Energy Demand,TWh,2019,8.536991413
EE,Buildings,Total,Electricity,Energy Demand,TWh,2019,2.607390652
ES,Buildings,Total,Electricity,Energy Demand,TWh,2019,68.40506017
FI,Buildings,Total,Electricity,Energy Demand,TWh,2019,18.49672312
FR,Buildings,Total,Electricity,Energy Demand,TWh,2019,127.442482
GR,Buildings,Total,Electricity,Energy Demand,TWh,2019,16.91702987
HR,Buildings,Total,Electricity,Energy Demand,TWh,2019,5.313681999
