PATTERN,AT00Z2IN,AT00Z2RE,AT00Z2TE,AT00Z2TR
"M01,D07,H24",0.0,0.0,0.0,0.0
"M01,D08,H1",0.0,0.0,0.0,0.0
"M01,D08,H2",0.0,0.0,0.0,0.0
"M01,D08,H3",0.0,0.0,0.0,0.0
"M01,D08,H4",0.0,0.0,0.0,0.0
"M01,D08,H5",0.0,0.0,0.0,0.0
"M01,D08,H6",0.0,0.0,0.0,0.0
"M01,D08,H7",0.0,0.0,0.0,0.0
"M01,D08,H8",0.0,0.0,0.0,0.0
"M01,D08,H9",0.0,0.0,0.0,0.0
"M01,D08,H10",0.0,0.0,0.0,0.0
"M01,D08,H11",0.0,0.0,0.0,0.0
"M01,D08,H12",0.0,0.0,0.0,0.0
"M01,D08,H13",0.0,0.0,0.0,0.0
"M01,D08,H14",0.0,0.0,0.0,0.0
"M01,D08,H15",0.0,0.0,0.0,0.0
"M01,D08,H16",0.0,0.0,0.0,0.0
"M01,D08,H17",0.0,0.0,0.0,0.0
"M01,D08,H18",0.0,0.0,0.0,0.0
"M01,D08,H19",0.0,0.0,0.0,0.0
"M01,D08,H20",0.0,0.0,0.0,0.0
"M01,D08,H21",0.0,0.0,0.0,0.0
"M01,D08,H22",0.0,0.0,0.0,0.0
"M01,D08,H23",0.0,0.0,0.0,0.0
"M01,D08,H24",0.0,0.0,0.0,0.0
"M01,D09,H1",0.0,0.0,0.0,0.0
"M01,D09,H2",0.0,0.0,0.0,0.0
"M01,D09,H3",0.0,0.0,0.0,0.0
"M01,D09,H4",0.0,0.0,0.0,0.0
"M01,D09,H5",0.0,0.0,0.0,0.0
"M01,D09,H6",0.0,0.0,0.0,0.0
"M01,D09,H7",0.0,0.0,0.0,0.0
"M01,D09,H8",0.0,0.0,0.0,0.0
"M01,D09,H9",0.0,0.0,0.0,0.0
"M01,D09,H10",0.0,0.0,0.0,0.0
"M01,D09,H11",0.0,0.0,0.0,0.0
"M01,D09,H12",0.0,0.0,0.0,0.0
"M01,D09,H13",0.0,0.0,0.0,0.0
"M01,D09,H14",0.0,0.0,0.0,0.0
"M01,D09,H15",0.0,0.0,0.0,0.0
"M01,D09,H16",0.0,0.0,0.0,0.0
"M01,D09,H17",0.0,0.0,0.0,0.0
"M01,D09,H18",0.0,0.0,0.0,0.0
"M01,D09,H19",0.0,0.0,0.0,0.0
"M01,D09,H20",0.0,0.0,0.0,0.0
"M01,D09,H21",0.0,0.0,0.0,0.0
"M01,D09,H22",0.0,0.0,0.0,0.0
"M01,D09,H23",0.0,0.0,0.0,0.0
"M01,D09,H24",0.0,0.0,0.0,0.0
"M01,D10,H1",0.0,0.0,0.0,0.0
"M01,D10,H2",0.0,0.0,0.0,0.0
"M01,D10,H3",0.0,0.0,0.0,0.0
"M01,D10,H4",0.0,0.0,0.0,0.0
"M01,D10,H5",0.0,0.0,0.0,0.0
"M01,D10,H6",0.0,0.0,0.0,0.0
"M01,D10,H7",0.0,0.0,0.0,0.0
"M01,D10,H8",0.0,0.0,0.0,0.0
"M01,D10,H9",0.0,0.0,0.0,0.0
"M01,D10,H10",0.0,0.0,0.0,0.0
"M01,D10,H11",0.0,0.0,0.0,0.0
"M01,D10,H12",0.0,0.0,0.0,0.0
"M01,D10,H13",0.0,0.0,0.0,0.0
"M01,D10,H14",0.0,0.0,0.0,0.0
"M01,D10,H15",0.0,0.0,0.0,0.0
"M01,D10,H16",0.0,0.0,0.0,0.0
"M01,D10,H17",0.0,0.0,0.0,0.0
"M01,D10,H18",0.0,0.0,0.0,0.0
"M01,D10,H19",0.0,0.0,0.0,0.0
"M01,D10,H20",0.0,0.0,0.0,0.0
"M01,D10,H21",0.0,0.0,0.0,0.0
"M01,D10,H22",0.0,0.0,0.0,0.0
"M01,D10,H23",0.0,0.0,0.0,0.0
"M01,D10,H24",0.0,0.0,0.0,0.0
"M01,D11,H1",0.0,0.0,0.0,0.0
"M01,D11,H2",0.0,0.0,0.0,0.0
"M01,D11,H3",0.0,0.0,0.0,0.0
"M01,D11,H4",0.0,0.0,0.0,0.0
"M01,D11,H5",0.0,0.0,0.0,0.0
"M01,D11,H6",0.0,0.0,0.0,0.0
"M01,D11,H7",0.0,0.0,0.0,0.0
"M01,D11,H8",0.0,0.0,0.0,0.0
"M01,D11,H9",0.0,0.0,0.0,0.0
"M01,D11,H10",0.0,0.0,0.0,0.0
"M01,D11,H11",0.0,0.0,0.0,0.0
"M01,D11,H12",0.0,0.0,0.0,0.0
"M01,D11,H13",0.0,0.0,0.0,0.0
"M01,D11,H14",0.0,0.0,0.0,0.0
"M01,D11,H15",0.0,0.0,0.0,0.0
"M01,D11,H16",0.0,0.0,0.0,0.0
"M01,D11,H17",0.0,0.0,0.0,0.0
"M01,D11,H18",0.0,0.0,0.0,0.0
"M01,D11,H19",0.0,0.0,0.0,0.0
"M01,D11,H20",0.0,0.0,0.0,0.0
"M01,D11,H21",0.0,0.0,0.0,0.0
"M01,D11,H22",0.0,0.0,0.0,0.0
"M01,D11,H23",0.0,0.0,0.0,0.0
"M01,D11,H24",0.0,0.0,0.0,0.0
"M01,D12,H1",0.0,0.0,0.0,0.0
"M01,D12,H2",0.0,0.0,0.0,0.0
"M01,D12,H3",0.0,0.0,0.0,0.0
"M01,D12,H4",0.0,0.0,0.0,0.0
"M01,D12,H5",0.0,0.0,0.0,0.0
"M01,D12,H6",0.0,0.0,0.0,0.0
"M01,D12,H7",0.0,0.0,0.0,0.0
"M01,D12,H8",0.0,0.0,0.0,0.0
"M01,D12,H9",0.0,0.0,0.0,0.0
"M01,D12,H10",0.0,0.0,0.0,0.0
"M01,D12,H11",0.0,0.0,0.0,0.0
"M01,D12,H12",0.0,0.0,0.0,0.0
"M01,D12,H13",0.0,0.0,0.0,0.0
"M01,D12,H14",0.0,0.0,0.0,0.0
"M01,D12,H15",0.0,0.0,0.0,0.0
"M01,D12,H16",0.0,0.0,0.0,0.0
"M01,D12,H17",0.0,0.0,0.0,0.0
"M01,D12,H18",0.0,0.0,0.0,0.0
"M01,D12,H19",0.0,0.0,0.0,0.0
"M01,D12,H20",0.0,0.0,0.0,0.0
"M01,D12,H21",0.0,0.0,0.0,0.0
"M01,D12,H22",0.0,0.0,0.0,0.0
"M01,D12,H23",0.0,0.0,0.0,0.0
"M01,D12,H24",0.0,0.0,0.0,0.0
"M01,D13,H1",0.0,0.0,0.0,0.0
"M01,D13,H2",0.0,0.0,0.0,0.0
"M01,D13,H3",0.0,0.0,0.0,0.0
"M01,D13,H4",0.0,0.0,0.0,0.0
"M01,D13,H5",0.0,0.0,0.0,0.0
"M01,D13,H6",0.0,0.0,0.0,0.0
"M01,D13,H7",0.0,0.0,0.0,0.0
"M01,D13,H8",0.0,0.0,0.0,0.0
"M01,D13,H9",0.0,0.0,0.0,0.0
"M01,D13,H10",0.0,0.0,0.0,0.0
"M01,D13,H11",0.0,0.0,0.0,0.0
"M01,D13,H12",0.0,0.0,0.0,0.0
"M01,D13,H13",0.0,0.0,0.0,0.0
"M01,D13,H14",0.0,0.0,0.0,0.0
"M01,D13,H15",0.0,0.0,0.0,0.0
"M01,D13,H16",0.0,0.0,0.0,0.0
"M01,D13,H17",0.0,0.0,0.0,0.0
"M01,D13,H18",0.0,0.0,0.0,0.0
"M01,D13,H19",0.0,0.0,0.0,0.0
"M01,D13,H20",0.0,0.0,0.0,0.0
"M01,D13,H21",0.0,0.0,0.0,0.0
"M01,D13,H22",0.0,0.0,0.0,0.0
"M01,D13,H23",0.0,0.0,0.0,0.0
"M01,D13,H24",0.0,0.0,0.0,0.0
"M01,D14,H1",0.0,0.0,0.0,0.0
"M01,D14,H2",0.0,0.0,0.0,0.0
"M01,D14,H3",0.0,0.0,0.0,0.0
"M01,D14,H4",0.0,0.0,0.0,0.0
"M01,D14,H5",0.0,0.0,0.0,0.0
"M01,D14,H6",0.0,0.0,0.0,0.0
"M01,D14,H7",0.0,0.0,0.0,0.0
"M01,D14,H8",0.0,0.0,0.0,0.0
"M01,D14,H9",0.0,0.0,0.0,0.0
"M01,D14,H10",0.0,0.0,0.0,0.0
"M01,D14,H11",0.0,0.0,0.0,0.0
"M01,D14,H12",0.0,0.0,0.0,0.0
"M01,D14,H13",0.0,0.0,0.0,0.0
"M01,D14,H14",0.0,0.0,0.0,0.0
"M01,D14,H15",0.0,0.0,0.0,0.0
"M01,D14,H16",0.0,0.0,0.0,0.0
"M01,D14,H17",0.0,0.0,0.0,0.0
"M01,D14,H18",0.0,0.0,0.0,0.0
"M01,D14,H19",0.0,0.0,0.0,0.0
"M01,D14,H20",0.0,0.0,0.0,0.0
"M01,D14,H21",0.0,0.0,0.0,0.0
"M01,D14,H22",0.0,0.0,0.0,0.0
"M01,D14,H23",0.0,0.0,0.0,0.0
"M01,D14,H24",0.0,0.0,0.0,0.0
"M01,D15,H1",0.0,0.0,0.0,0.0
"M01,D15,H2",0.0,0.0,0.0,0.0
"M01,D15,H3",0.0,0.0,0.0,0.0
"M01,D15,H4",0.0,0.0,0.0,0.0
"M01,D15,H5",0.0,0.0,0.0,0.0
"M01,D15,H6",0.0,0.0,0.0,0.0
"M01,D15,H7",0.0,0.0,0.0,0.0
"M01,D15,H8",0.0,0.0,0.0,0.0
"M01,D15,H9",0.0,0.0,0.0,0.0
"M01,D15,H10",0.0,0.0,0.0,0.0
"M01,D15,H11",0.0,0.0,0.0,0.0
"M01,D15,H12",0.0,0.0,0.0,0.0
"M01,D15,H13",0.0,0.0,0.0,0.0
"M01,D15,H14",0.0,0.0,0.0,0.0
"M01,D15,H15",0.0,0.0,0.0,0.0
"M01,D15,H16",0.0,0.0,0.0,0.0
"M01,D15,H17",0.0,0.0,0.0,0.0
"M01,D15,H18",0.0,0.0,0.0,0.0
"M01,D15,H19",0.0,0.0,0.0,0.0
"M01,D15,H20",0.0,0.0,0.0,0.0
"M01,D15,H21",0.0,0.0,0.0,0.0
"M01,D15,H22",0.0,0.0,0.0,0.0
"M01,D15,H23",0.0,0.0,0.0,0.0
"M01,D15,H24",0.0,0.0,0.0,0.0
"M01,D16,H1",0.0,0.0,0.0,0.0
"M01,D16,H2",0.0,0.0,0.0,0.0
"M01,D16,H3",0.0,0.0,0.0,0.0
"M01,D16,H4",0.0,0.0,0.0,0.0
"M01,D16,H5",0.0,0.0,0.0,0.0
"M01,D16,H6",0.0,0.0,0.0,0.0
"M01,D16,H7",0.0,0.0,0.0,0.0
"M01,D16,H8",0.0,0.0,0.0,0.0
"M01,D16,H9",0.0,0.0,0.0,0.0
"M01,D16,H10",0.0,0.0,0.0,0.0
"M01,D16,H11",0.0,0.0,0.0,0.0
"M01,D16,H12",0.0,0.0,0.0,0.0
"M01,D16,H13",0.0,0.0,0.0,0.0
"M01,D16,H14",0.0,0.0,0.0,0.0
"M01,D16,H15",0.0,0.0,0.0,0.0
"M01,D16,H16",0.0,0.0,0.0,0.0
"M01,D16,H17",0.0,0.0,0.0,0.0
"M01,D16,H18",0.0,0.0,0.0,0.0
"M01,D16,H19",0.0,0.0,0.0,0.0
