Hour,Year,Month,Day,Name,Value
4,-,-,-,Industry_Steel_Energetic,0.09573459784898812
5,-,-,-,Industry_Steel_Energetic,0.08492610799234575
6,-,-,-,Industry_Steel_Energetic,0.08769230749184023
7,-,-,-,Industry_Steel_Energetic,0.08352223192097287
8,-,-,-,Industry_Steel_Energetic,0.08620689643495838
9,-,-,-,Industry_Steel_Energetic,0.08628428945024472
10,-,-,-,Industry_Steel_Energetic,0.11502145920757059
11,-,-,-,Industry_Steel_Energetic,0.11636747629375799
12,-,-,-,Industry_Steel_Energetic,0.11750000011252085
13,-,-,-,Industry_Steel_Energetic,0.1204819271881744
14,-,-,-,Industry_Steel_Energetic,0.12041800621797429
15,-,-,-,Industry_Steel_Energetic,0.1202256244297417
16,-,-,-,Industry_Steel_Energetic,0.11975683833361234
17,-,-,-,Industry_Steel_Energetic,0.11918367285752937
18,-,-,-,Industry_Steel_Energetic,0.11843460283704678
19,-,-,-,Industry_Steel_Energetic,0.11015625016182863
20,-,-,-,Industry_Steel_Energetic,0.11636747629375799
21,-,-,-,Industry_Steel_Energetic,0.11502145920757059
22,-,-,-,Industry_Steel_Energetic,0.1273619630198707
23,-,-,-,Industry_Steel_Energetic,0.12562814043074672
24,-,-,-,Industry_Steel_Energetic,0.12111251587183884
