Month,Day,Aggregated_IE00 e_kerosene e_kerosene
8,26,1607.115708299197
8,27,1603.110435505928
8,28,1599.105162712659
8,29,1595.09988991939
8,30,1591.0946171261212
8,31,1587.089344332852
9,1,1583.0840715395832
9,2,1578.945289653205
9,3,1574.806507766827
9,4,1570.667725880449
9,5,1566.528943994071
9,6,1562.390162107693
9,7,1558.2513802213155
9,8,1554.1125983349368
9,9,1549.973816448559
9,10,1545.8350345621811
9,11,1541.6962526758032
9,12,1537.5574707894248
9,13,1533.4186889030468
9,14,1529.2799070166693
9,15,1525.1411251302914
9,16,1521.002343243913
9,17,1516.863561357535
9,18,1512.7247794711573
9,19,1508.5859975847789
9,20,1504.447215698401
9,21,1500.3084338120232
9,22,1496.169651925645
9,23,1492.030870039267
9,24,1487.892088152889
9,25,1483.753306266511
9,26,1479.6145243801332
9,27,1475.4757424937552
9,28,1471.3369606073773
9,29,1467.198178720999
9,30,1463.059396834621
10,1,1458.9206149482432
10,2,1444.9021601718016
10,3,1430.88370539536
10,4,1416.8652506189183
10,5,1402.8467958424765
10,6,1388.828341066035
10,7,1374.8098862895934
10,8,1360.7914315131518
10,9,1346.7729767367102
10,10,1332.7545219602684
10,11,1318.736067183827
10,12,1304.7176124073853
10,13,1290.6991576309438
10,14,1276.6807028545022
10,15,1262.6622480780604
10,16,1248.643793301619
10,17,1234.6253385251775
10,18,1220.6068837487358
10,19,1206.5884289722942
10,20,1192.5699741958526
10,21,1178.551519419411
10,22,1164.5330646429695
10,23,1150.514609866528
10,24,1136.4961550900864
10,25,1122.4777003136448
10,26,1108.459245537203
10,27,1094.440790760762
10,28,1080.4223359843202
10,29,1066.4038812078784
10,30,1052.3854264314368
10,31,1038.3669716549953
11,1,1024.348516878554
11,2,1025.3832123501484
11,3,1026.4179078217426
11,4,1027.452603293337
11,5,1028.487298764932
11,6,1029.5219942365263
11,7,1030.5566897081208
11,8,1031.5913851797152
11,9,1032.6260806513098
11,10,1033.6607761229043
11,11,1034.6954715944987
11,12,1035.7301670660934
11,13,1036.7648625376878
11,14,1037.7995580092822
11,15,1038.8342534808767
11,16,1039.8689489524713
11,17,1040.9036444240658
11,18,1041.9383398956602
11,19,1042.9730353672546
11,20,1044.0077308388495
11,21,1045.042426310444
11,22,1046.0771217820381
11,23,1047.1118172536328
11,24,1048.1465127252275
11,25,1049.181208196822
11,26,1050.215903668416
11,27,1051.2505991400108
11,28,1052.2852946116052
11,29,1053.3199900831999
11,30,1054.3546855547943
12,1,1055.389381026389
12,2,1055.389381026389
12,3,1055.389381026389
12,4,1055.389381026389
12,5,1055.389381026389
12,6,1055.389381026389
12,7,1055.389381026389
12,8,1055.389381026389
12,9,1055.389381026389
12,10,1055.389381026389
12,11,1055.389381026389
12,12,1055.389381026389
12,13,1055.389381026389
12,14,1055.389381026389
12,15,1055.389381026389
12,16,1055.389381026389
12,17,1055.389381026389
12,18,1055.389381026389
12,19,1055.389381026389
12,20,1055.389381026389
12,21,1055.389381026389
12,22,1055.389381026389
12,23,1055.389381026389
12,24,1055.389381026389
12,25,1055.389381026389
12,26,1055.389381026389
12,27,1055.389381026389
12,28,1055.389381026389
12,29,1055.389381026389
12,30,1055.389381026389
12,31,1055.389381026389
